"row_id","roster","coverage_status","category","brand","model_family","symptom_id","capability_tier","model_source_id","troubleshooting_source_ids","proposed_profile","gap_count","verified_on"
"lg-wm3400cw__will-not-drain","existing-131","implemented","washer","LG","WM3400CW","will-not-drain","guided-checks","lg-wm3400cw-model","lg-no-drain|lg-filter","washer-front-drain","0","2026-08-28"
"lg-wm3400cw__door-will-not-close","existing-131","candidate","washer","LG","WM3400CW","door-will-not-close","guided-checks","lg-wm3400cw-model","lg-front-washer-door","washer-door-closure-observation","2","2026-08-28"
"lg-wm3400cw__slow-water-flow","existing-131","unsupported","washer","LG","WM3400CW","slow-water-flow","unsupported","lg-wm3400cw-model","","","1","2026-08-28"
"lg-wm4000hwa__will-not-drain","existing-131","implemented","washer","LG","WM4000HWA","will-not-drain","guided-checks","lg-wm4000hwa-model","lg-no-drain|lg-filter","washer-front-drain","0","2026-08-28"
"lg-wm4000hwa__door-will-not-close","existing-131","candidate","washer","LG","WM4000HWA","door-will-not-close","guided-checks","lg-wm4000hwa-model","lg-front-washer-door","washer-door-closure-observation","2","2026-08-28"
"lg-wm4000hwa__slow-water-flow","existing-131","unsupported","washer","LG","WM4000HWA","slow-water-flow","unsupported","lg-wm4000hwa-model","","","1","2026-08-28"
"samsung-wf45t6000aw__will-not-drain","existing-131","implemented","washer","Samsung","WF45T6000AW","will-not-drain","purchase-ready","samsung-wf45t6000aw-model","samsung-no-drain|samsung-filter","washer-front-drain","0","2026-08-28"
"samsung-wf45t6000aw__door-will-not-close","existing-131","candidate","washer","Samsung","WF45T6000AW","door-will-not-close","guided-checks","samsung-wf45t6000aw-model","samsung-washer-door","washer-door-closure-observation","2","2026-08-28"
"samsung-wf45t6000aw__slow-water-flow","existing-131","unsupported","washer","Samsung","WF45T6000AW","slow-water-flow","unsupported","samsung-wf45t6000aw-model","","","1","2026-08-28"
"samsung-wf45b6300aw__will-not-drain","existing-131","implemented","washer","Samsung","WF45B6300AW","will-not-drain","purchase-ready","samsung-wf45b6300aw-model","samsung-no-drain|samsung-filter","washer-front-drain","0","2026-08-28"
"samsung-wf45b6300aw__door-will-not-close","existing-131","candidate","washer","Samsung","WF45B6300AW","door-will-not-close","guided-checks","samsung-wf45b6300aw-model","samsung-washer-door","washer-door-closure-observation","2","2026-08-28"
"samsung-wf45b6300aw__slow-water-flow","existing-131","unsupported","washer","Samsung","WF45B6300AW","slow-water-flow","unsupported","samsung-wf45b6300aw-model","","","1","2026-08-28"
"ge-gfw550ssnww__will-not-drain","existing-131","implemented","washer","GE","GFW550SSNWW","will-not-drain","purchase-ready","ge-gfw550ssnww-model","ge-guidance","washer-front-drain","0","2026-08-28"
"ge-gfw550ssnww__door-will-not-close","existing-131","unsupported","washer","GE","GFW550SSNWW","door-will-not-close","unsupported","ge-gfw550ssnww-model","","","1","2026-08-28"
"ge-gfw550ssnww__slow-water-flow","existing-131","unsupported","washer","GE","GFW550SSNWW","slow-water-flow","unsupported","ge-gfw550ssnww-model","","","1","2026-08-28"
"ge-gfw650ssnww__will-not-drain","existing-131","implemented","washer","GE","GFW650SSNWW","will-not-drain","guided-checks","ge-gfw650ssnww-model","ge-guidance","washer-front-drain","0","2026-08-28"
"ge-gfw650ssnww__door-will-not-close","existing-131","unsupported","washer","GE","GFW650SSNWW","door-will-not-close","unsupported","ge-gfw650ssnww-model","","","1","2026-08-28"
"ge-gfw650ssnww__slow-water-flow","existing-131","unsupported","washer","GE","GFW650SSNWW","slow-water-flow","unsupported","ge-gfw650ssnww-model","","","1","2026-08-28"
"whirlpool-wfw5605mw__will-not-drain","existing-131","implemented","washer","Whirlpool","WFW5605MW","will-not-drain","guided-checks","whirlpool-wfw5605mw-model","whirlpool-no-drain|whirlpool-filter","washer-front-drain","0","2026-08-28"
"whirlpool-wfw5605mw__door-will-not-close","existing-131","candidate","washer","Whirlpool","WFW5605MW","door-will-not-close","guided-checks","whirlpool-wfw5605mw-model","whirlpool-front-washer-door","washer-door-closure-observation","2","2026-08-28"
"whirlpool-wfw5605mw__slow-water-flow","existing-131","unsupported","washer","Whirlpool","WFW5605MW","slow-water-flow","unsupported","whirlpool-wfw5605mw-model","","","1","2026-08-28"
"whirlpool-wfw6620hw__will-not-drain","existing-131","implemented","washer","Whirlpool","WFW6620HW","will-not-drain","guided-checks","whirlpool-wfw6620hw-model","whirlpool-no-drain|whirlpool-filter","washer-front-drain","0","2026-08-28"
"whirlpool-wfw6620hw__door-will-not-close","existing-131","candidate","washer","Whirlpool","WFW6620HW","door-will-not-close","guided-checks","whirlpool-wfw6620hw-model","whirlpool-front-washer-door","washer-door-closure-observation","2","2026-08-28"
"whirlpool-wfw6620hw__slow-water-flow","existing-131","unsupported","washer","Whirlpool","WFW6620HW","slow-water-flow","unsupported","whirlpool-wfw6620hw-model","","","1","2026-08-28"
"maytag-mhw5630hw__will-not-drain","existing-131","implemented","washer","Maytag","MHW5630HW","will-not-drain","guided-checks","maytag-mhw5630hw-model","maytag-no-drain|maytag-filter","washer-front-drain","0","2026-08-28"
"maytag-mhw5630hw__door-will-not-close","existing-131","candidate","washer","Maytag","MHW5630HW","door-will-not-close","guided-checks","maytag-mhw5630hw-model","maytag-front-washer-door","washer-door-closure-observation","2","2026-08-28"
"maytag-mhw5630hw__slow-water-flow","existing-131","unsupported","washer","Maytag","MHW5630HW","slow-water-flow","unsupported","maytag-mhw5630hw-model","","","1","2026-08-28"
"maytag-mhw6630hw__will-not-drain","existing-131","implemented","washer","Maytag","MHW6630HW","will-not-drain","guided-checks","maytag-mhw6630hw-model","maytag-no-drain|maytag-filter","washer-front-drain","0","2026-08-28"
"maytag-mhw6630hw__door-will-not-close","existing-131","candidate","washer","Maytag","MHW6630HW","door-will-not-close","guided-checks","maytag-mhw6630hw-model","maytag-front-washer-door","washer-door-closure-observation","2","2026-08-28"
"maytag-mhw6630hw__slow-water-flow","existing-131","unsupported","washer","Maytag","MHW6630HW","slow-water-flow","unsupported","maytag-mhw6630hw-model","","","1","2026-08-28"
"electrolux-elfw7537at__will-not-drain","existing-131","implemented","washer","Electrolux","ELFW7537AT","will-not-drain","guided-checks","electrolux-elfw7537at-model","electrolux-e21","washer-hose-only","0","2026-08-28"
"electrolux-elfw7537at__door-will-not-close","existing-131","candidate","washer","Electrolux","ELFW7537AT","door-will-not-close","guided-checks","electrolux-elfw7537at-model","electrolux-front-washer-door","washer-door-closure-observation","2","2026-08-28"
"electrolux-elfw7537at__slow-water-flow","existing-131","unsupported","washer","Electrolux","ELFW7537AT","slow-water-flow","unsupported","electrolux-elfw7537at-model","","","1","2026-08-28"
"electrolux-elfw7637at__will-not-drain","existing-131","implemented","washer","Electrolux","ELFW7637AT","will-not-drain","guided-checks","electrolux-elfw7637at-model","electrolux-e21","washer-hose-only","0","2026-08-28"
"electrolux-elfw7637at__door-will-not-close","existing-131","candidate","washer","Electrolux","ELFW7637AT","door-will-not-close","guided-checks","electrolux-elfw7637at-model","electrolux-front-washer-door","washer-door-closure-observation","2","2026-08-28"
"electrolux-elfw7637at__slow-water-flow","existing-131","unsupported","washer","Electrolux","ELFW7637AT","slow-water-flow","unsupported","electrolux-elfw7637at-model","","","1","2026-08-28"
"lg-wt7400cw__will-not-drain","existing-131","implemented","washer","LG","WT7400CW","will-not-drain","guided-checks","lg-wt7400cw-model","lg-top-load-no-drain","washer-hose-only","0","2026-08-28"
"lg-wt7400cw__door-will-not-close","existing-131","candidate","washer","LG","WT7400CW","door-will-not-close","guided-checks","lg-wt7400cw-model","lg-top-washer-lid","washer-door-closure-observation","2","2026-08-28"
"lg-wt7400cw__slow-water-flow","existing-131","unsupported","washer","LG","WT7400CW","slow-water-flow","unsupported","lg-wt7400cw-model","","","1","2026-08-28"
"lg-wt7405cw__will-not-drain","existing-131","implemented","washer","LG","WT7405CW","will-not-drain","guided-checks","lg-wt7405cw-model","lg-top-load-no-drain","washer-hose-only","0","2026-08-28"
"lg-wt7405cw__door-will-not-close","existing-131","candidate","washer","LG","WT7405CW","door-will-not-close","guided-checks","lg-wt7405cw-model","lg-top-washer-lid","washer-door-closure-observation","2","2026-08-28"
"lg-wt7405cw__slow-water-flow","existing-131","unsupported","washer","LG","WT7405CW","slow-water-flow","unsupported","lg-wt7405cw-model","","","1","2026-08-28"
"ge-gtw465asnww__will-not-drain","existing-131","implemented","washer","GE","GTW465ASNWW","will-not-drain","guided-checks","ge-gtw465asnww-model","ge-top-load-no-drain","washer-hose-only","0","2026-08-28"
"ge-gtw465asnww__door-will-not-close","existing-131","unsupported","washer","GE","GTW465ASNWW","door-will-not-close","unsupported","ge-gtw465asnww-model","","","1","2026-08-28"
"ge-gtw465asnww__slow-water-flow","existing-131","unsupported","washer","GE","GTW465ASNWW","slow-water-flow","unsupported","ge-gtw465asnww-model","","","1","2026-08-28"
"ge-gtw585bsvws__will-not-drain","existing-131","implemented","washer","GE","GTW585BSVWS","will-not-drain","guided-checks","ge-gtw585bsvws-model","ge-top-load-no-drain","washer-hose-only","0","2026-08-28"
"ge-gtw585bsvws__door-will-not-close","existing-131","unsupported","washer","GE","GTW585BSVWS","door-will-not-close","unsupported","ge-gtw585bsvws-model","","","1","2026-08-28"
"ge-gtw585bsvws__slow-water-flow","existing-131","unsupported","washer","GE","GTW585BSVWS","slow-water-flow","unsupported","ge-gtw585bsvws-model","","","1","2026-08-28"
"samsung-wa45t3200aw__will-not-drain","existing-131","implemented","washer","Samsung","WA45T3200AW","will-not-drain","guided-checks","samsung-wa45t3200aw-model","samsung-no-drain","washer-hose-only","0","2026-08-28"
"samsung-wa45t3200aw__door-will-not-close","existing-131","candidate","washer","Samsung","WA45T3200AW","door-will-not-close","guided-checks","samsung-wa45t3200aw-model","samsung-washer-door","washer-door-closure-observation","2","2026-08-28"
"samsung-wa45t3200aw__slow-water-flow","existing-131","unsupported","washer","Samsung","WA45T3200AW","slow-water-flow","unsupported","samsung-wa45t3200aw-model","","","1","2026-08-28"
"whirlpool-wtw5057lw__will-not-drain","existing-131","implemented","washer","Whirlpool","WTW5057LW","will-not-drain","guided-checks","whirlpool-wtw5057lw-model","whirlpool-top-load-no-drain","washer-hose-only","0","2026-08-28"
"whirlpool-wtw5057lw__door-will-not-close","existing-131","candidate","washer","Whirlpool","WTW5057LW","door-will-not-close","guided-checks","whirlpool-wtw5057lw-model","whirlpool-top-washer-lid","washer-door-closure-observation","2","2026-08-28"
"whirlpool-wtw5057lw__slow-water-flow","existing-131","unsupported","washer","Whirlpool","WTW5057LW","slow-water-flow","unsupported","whirlpool-wtw5057lw-model","","","1","2026-08-28"
