"rowId","modelId","brand","model","symptomId","topology","evidenceDecision","activationDisposition","profile","sourceIds"
"maytag-med4500mw__will-not-start","maytag-med4500mw","Maytag","MED4500MW","will-not-start","vented-electric-dryer","supported","promotable","dryer-start-visible-only","maytag-dryer-start"
"maytag-med4500mw__not-heating","maytag-med4500mw","Maytag","MED4500MW","not-heating","vented-electric-dryer","supported","promotable","dryer-heat-visible-only","maytag-electric-dryer-heat"
"maytag-med4500mw__drum-will-not-turn","maytag-med4500mw","Maytag","MED4500MW","drum-will-not-turn","vented-electric-dryer","supported","promotable-with-safe-profile-fork","dryer-drum-no-manual-rotation","maytag-dryer-tumble"
"electrolux-elfe7637at__will-not-start","electrolux-elfe7637at","Electrolux","ELFE7637AT","will-not-start","vented-electric-dryer","supported","promotable","dryer-start-visible-only","electrolux-dryer-start"
"electrolux-elfe7637at__not-heating","electrolux-elfe7637at","Electrolux","ELFE7637AT","not-heating","vented-electric-dryer","supported","promotable","dryer-heat-visible-only","electrolux-electric-dryer-heat"
"electrolux-elfe7637at__drum-will-not-turn","electrolux-elfe7637at","Electrolux","ELFE7637AT","drum-will-not-turn","vented-electric-dryer","supported","promotable-with-safe-profile-fork","dryer-drum-no-manual-rotation","electrolux-dryer-stop-overload"
"frigidaire-ffre4120sw__will-not-start","frigidaire-ffre4120sw","Frigidaire","FFRE4120SW","will-not-start","vented-electric-dryer","supported","promotable","dryer-start-visible-only","frigidaire-dryer-start"
"frigidaire-ffre4120sw__not-heating","frigidaire-ffre4120sw","Frigidaire","FFRE4120SW","not-heating","vented-electric-dryer","supported","promotable","dryer-heat-visible-only","frigidaire-electric-dryer-heat"
"frigidaire-ffre4120sw__drum-will-not-turn","frigidaire-ffre4120sw","Frigidaire","FFRE4120SW","drum-will-not-turn","vented-electric-dryer","supported","promotable-with-safe-profile-fork","dryer-drum-no-manual-rotation","frigidaire-dryer-stop-overload"
"amana-ned4655ew__will-not-start","amana-ned4655ew","Amana","NED4655EW","will-not-start","vented-electric-dryer","supported","promotable","dryer-start-visible-only","amana-dryer-start"
"amana-ned4655ew__not-heating","amana-ned4655ew","Amana","NED4655EW","not-heating","vented-electric-dryer","supported","promotable","dryer-heat-visible-only","amana-electric-dryer-heat"
"amana-ned4655ew__drum-will-not-turn","amana-ned4655ew","Amana","NED4655EW","drum-will-not-turn","vented-electric-dryer","supported","promotable-with-safe-profile-fork","dryer-drum-no-manual-rotation","amana-dryer-tumble"
"hotpoint-htx24easkws__will-not-start","hotpoint-htx24easkws","Hotpoint","HTX24EASKWS","will-not-start","vented-electric-dryer","supported","promotable","dryer-start-visible-only","ge-hotpoint-dryer-start"
"hotpoint-htx24easkws__not-heating","hotpoint-htx24easkws","Hotpoint","HTX24EASKWS","not-heating","vented-electric-dryer","supported","promotable","dryer-heat-visible-only","ge-hotpoint-electric-dryer-heat"
"hotpoint-htx24easkws__drum-will-not-turn","hotpoint-htx24easkws","Hotpoint","HTX24EASKWS","drum-will-not-turn","vented-electric-dryer","supported","promotable-with-safe-profile-fork","dryer-drum-no-manual-rotation","ge-hotpoint-dryer-drum"
"hotpoint-htx26easwww__will-not-start","hotpoint-htx26easwww","Hotpoint","HTX26EASWWW","will-not-start","vented-electric-dryer","supported","promotable","dryer-start-visible-only","ge-hotpoint-dryer-start"
"hotpoint-htx26easwww__not-heating","hotpoint-htx26easwww","Hotpoint","HTX26EASWWW","not-heating","vented-electric-dryer","supported","promotable","dryer-heat-visible-only","ge-hotpoint-electric-dryer-heat"
"hotpoint-htx26easwww__drum-will-not-turn","hotpoint-htx26easwww","Hotpoint","HTX26EASWWW","drum-will-not-turn","vented-electric-dryer","supported","promotable-with-safe-profile-fork","dryer-drum-no-manual-rotation","ge-hotpoint-dryer-drum"
"maytag-med6230hw__will-not-start","maytag-med6230hw","Maytag","MED6230HW","will-not-start","vented-electric-dryer","supported","promotable","dryer-start-visible-only","maytag-dryer-start"
"maytag-med6230hw__not-heating","maytag-med6230hw","Maytag","MED6230HW","not-heating","vented-electric-dryer","supported","promotable","dryer-heat-visible-only","maytag-electric-dryer-heat"
"maytag-med6230hw__drum-will-not-turn","maytag-med6230hw","Maytag","MED6230HW","drum-will-not-turn","vented-electric-dryer","supported","promotable-with-safe-profile-fork","dryer-drum-no-manual-rotation","maytag-dryer-tumble"
