rowId,modelId,category,brand,modelFamily,identityTier,verifiedProductCodes,symptomId,supported,capability,repairPackId,troubleshootingEvidence,supportMissingReason,purchaseReady,exactPart,purchaseMissingReason
"lg-wm3400cw__will-not-drain","lg-wm3400cw","washer","LG","WM3400CW","exact-code","[""WM3400CW.ABWEVUS""]","will-not-drain","true","guided-checks","lg-wm3400cw::will-not-drain","[{""id"":""lg-no-drain"",""kind"":""manufacturer-troubleshooting"",""title"":""LG washer: water not draining"",""publisher"":""LG"",""url"":""https://www.lg.com/us/support/help-library/lg-washing-machine-water-not-draining--20154726902590"",""appliesTo"":""LG front-load washers"",""lastVerified"":""2026-08-27""},{""id"":""lg-filter"",""kind"":""manufacturer-troubleshooting"",""title"":""LG drain-pump filter cleaning"",""publisher"":""LG"",""url"":""https://www.lg.com/us/support/help-library/lg-washer-how-to-clean-the-drain-pump-filter--20150206838321"",""appliesTo"":""LG front-load washers with user-accessible filters"",""lastVerified"":""2026-08-27""}]","","false","","No accepted complete-revision → one exact-SKU compatibility chain plus separately verified seller offer is recorded."
"lg-wm3400cw__door-will-not-close","lg-wm3400cw","washer","LG","WM3400CW","exact-code","[""WM3400CW.ABWEVUS""]","door-will-not-close","true","guided-checks","lg-wm3400cw::door-will-not-close","[{""id"":""lg-front-washer-door"",""kind"":""manufacturer-troubleshooting"",""title"":""LG front-load washer dE/dE1/dE2 door errors"",""publisher"":""LG"",""url"":""https://www.lg.com/us/support/help-library/front-load-washer-what-are-de-de1-and-de2-error-codes--1400508168566"",""appliesTo"":""LG front-load washers; all-model article with model-dependent visuals"",""lastVerified"":""2026-08-28""}]","","false","","Purchase promotion is limited to the category's separately reviewed default component route."
"lg-wm3400cw__will-not-start","lg-wm3400cw","washer","LG","WM3400CW","exact-code","[""WM3400CW.ABWEVUS""]","will-not-start","true","guided-checks","lg-wm3400cw::will-not-start","[{""id"":""lg-washer-start"",""kind"":""manufacturer-troubleshooting"",""title"":""LG washer unresponsive-control checks"",""publisher"":""LG"",""url"":""https://www.lg.com/us/support/help-library/lg-washer-troubleshooting-unresponsive-washer-buttons-CT10000012-20152367429605"",""appliesTo"":""LG front- and top-load washers; visible controls and lock state only"",""lastVerified"":""2026-08-29""}]","","false","","Purchase promotion is limited to the category's separately reviewed default component route."
"lg-wm3400cw__will-not-spin","lg-wm3400cw","washer","LG","WM3400CW","exact-code","[""WM3400CW.ABWEVUS""]","will-not-spin","true","guided-checks","lg-wm3400cw::will-not-spin","[{""id"":""lg-washer-spin"",""kind"":""manufacturer-troubleshooting"",""title"":""LG washer drum-not-spinning checks"",""publisher"":""LG"",""url"":""https://www.lg.com/us/support/help-library/lg-washer-troubleshooting-washing-machine-drum-not-spinning-CT10000010-20150584818000"",""appliesTo"":""LG front- and top-load washers; load, drain, and closure observations only"",""lastVerified"":""2026-08-29""}]","","false","","Purchase promotion is limited to the category's separately reviewed default component route."
"lg-wm3400cw__is-leaking","lg-wm3400cw","washer","LG","WM3400CW","exact-code","[""WM3400CW.ABWEVUS""]","is-leaking","true","guided-checks","lg-wm3400cw::is-leaking","[{""id"":""lg-washer-leak"",""kind"":""manufacturer-troubleshooting"",""title"":""LG washer leak troubleshooting"",""publisher"":""LG"",""url"":""https://www.lg.com/us/support/help-library/leaking-washing-machine-troubleshooting-guide-CT10000010-20150295652820"",""appliesTo"":""LG front- and top-load washers; topology-selected visible leak checks only"",""lastVerified"":""2026-08-29""}]","","false","","Purchase promotion is limited to the category's separately reviewed default component route."
"lg-wm4000hwa__will-not-drain","lg-wm4000hwa","washer","LG","WM4000HWA","exact-code","[""WM4000HWA.ABWEUUS""]","will-not-drain","true","guided-checks","lg-wm4000hwa::will-not-drain","[{""id"":""lg-no-drain"",""kind"":""manufacturer-troubleshooting"",""title"":""LG washer: water not draining"",""publisher"":""LG"",""url"":""https://www.lg.com/us/support/help-library/lg-washing-machine-water-not-draining--20154726902590"",""appliesTo"":""LG front-load washers"",""lastVerified"":""2026-08-27""},{""id"":""lg-filter"",""kind"":""manufacturer-troubleshooting"",""title"":""LG drain-pump filter cleaning"",""publisher"":""LG"",""url"":""https://www.lg.com/us/support/help-library/lg-washer-how-to-clean-the-drain-pump-filter--20150206838321"",""appliesTo"":""LG front-load washers with user-accessible filters"",""lastVerified"":""2026-08-27""}]","","false","","No accepted complete-revision → one exact-SKU compatibility chain plus separately verified seller offer is recorded."
"lg-wm4000hwa__door-will-not-close","lg-wm4000hwa","washer","LG","WM4000HWA","exact-code","[""WM4000HWA.ABWEUUS""]","door-will-not-close","true","guided-checks","lg-wm4000hwa::door-will-not-close","[{""id"":""lg-front-washer-door"",""kind"":""manufacturer-troubleshooting"",""title"":""LG front-load washer dE/dE1/dE2 door errors"",""publisher"":""LG"",""url"":""https://www.lg.com/us/support/help-library/front-load-washer-what-are-de-de1-and-de2-error-codes--1400508168566"",""appliesTo"":""LG front-load washers; all-model article with model-dependent visuals"",""lastVerified"":""2026-08-28""}]","","false","","Purchase promotion is limited to the category's separately reviewed default component route."
"lg-wm4000hwa__will-not-start","lg-wm4000hwa","washer","LG","WM4000HWA","exact-code","[""WM4000HWA.ABWEUUS""]","will-not-start","true","guided-checks","lg-wm4000hwa::will-not-start","[{""id"":""lg-washer-start"",""kind"":""manufacturer-troubleshooting"",""title"":""LG washer unresponsive-control checks"",""publisher"":""LG"",""url"":""https://www.lg.com/us/support/help-library/lg-washer-troubleshooting-unresponsive-washer-buttons-CT10000012-20152367429605"",""appliesTo"":""LG front- and top-load washers; visible controls and lock state only"",""lastVerified"":""2026-08-29""}]","","false","","Purchase promotion is limited to the category's separately reviewed default component route."
"lg-wm4000hwa__will-not-spin","lg-wm4000hwa","washer","LG","WM4000HWA","exact-code","[""WM4000HWA.ABWEUUS""]","will-not-spin","true","guided-checks","lg-wm4000hwa::will-not-spin","[{""id"":""lg-washer-spin"",""kind"":""manufacturer-troubleshooting"",""title"":""LG washer drum-not-spinning checks"",""publisher"":""LG"",""url"":""https://www.lg.com/us/support/help-library/lg-washer-troubleshooting-washing-machine-drum-not-spinning-CT10000010-20150584818000"",""appliesTo"":""LG front- and top-load washers; load, drain, and closure observations only"",""lastVerified"":""2026-08-29""}]","","false","","Purchase promotion is limited to the category's separately reviewed default component route."
"lg-wm4000hwa__is-leaking","lg-wm4000hwa","washer","LG","WM4000HWA","exact-code","[""WM4000HWA.ABWEUUS""]","is-leaking","true","guided-checks","lg-wm4000hwa::is-leaking","[{""id"":""lg-washer-leak"",""kind"":""manufacturer-troubleshooting"",""title"":""LG washer leak troubleshooting"",""publisher"":""LG"",""url"":""https://www.lg.com/us/support/help-library/leaking-washing-machine-troubleshooting-guide-CT10000010-20150295652820"",""appliesTo"":""LG front- and top-load washers; topology-selected visible leak checks only"",""lastVerified"":""2026-08-29""}]","","false","","Purchase promotion is limited to the category's separately reviewed default component route."
"samsung-wf45t6000aw__will-not-drain","samsung-wf45t6000aw","washer","Samsung","WF45T6000AW","exact-code","[""WF45T6000AW/A5""]","will-not-drain","true","purchase-ready","samsung-wf45t6000aw::will-not-drain","[{""id"":""samsung-no-drain"",""kind"":""manufacturer-troubleshooting"",""title"":""Samsung washing machine will not drain"",""publisher"":""Samsung"",""url"":""https://www.samsung.com/us/support/troubleshoot/TSG10007110/"",""appliesTo"":""Samsung front- and top-load washers"",""lastVerified"":""2026-08-27""},{""id"":""samsung-filter"",""kind"":""manufacturer-troubleshooting"",""title"":""Samsung washer pump-filter cleaning"",""publisher"":""Samsung"",""url"":""https://www.samsung.com/us/support/answer/ANS10003197/"",""appliesTo"":""Samsung front-load washers with user-accessible filters"",""lastVerified"":""2026-08-27""}]","","true","{""name"":""Drain-pump assembly"",""sku"":""DC97-20621A"",""compatibleProductCodes"":[""WF45T6000AW/A5""],""installBoundary"":""professional-only"",""compatibilityEvidence"":[{""id"":""samsung-dc97-20621a"",""kind"":""authorized-parts"",""title"":""Samsung DC97-20621A compatible-model listing"",""publisher"":""Encompass"",""url"":""https://encompass.com/item/11667691/Samsung/DC97-20621A/"",""appliesTo"":""WF45T6000AW/A5 and WF45B6300AW/US"",""lastVerified"":""2026-08-27""}],""sellerOffer"":{""provider"":""shopify-global-catalog"",""protocol"":""UCP"",""query"":""Samsung DC97-20621A washer drain pump exact part"",""exactSku"":""DC97-20621A"",""offerCountAtVerification"":19,""lastVerified"":""2026-08-27""}}",""
