rowId,applianceId,brand,modelFamily,loadStyle,symptomId,researchOutcome,supportSourceId,supportSourceUrl,blockedReason
ge-gfw550ssnww__door-will-not-close,ge-gfw550ssnww,GE,GFW550SSNWW,front-load,door-will-not-close,promotable-guided-checks,ge-front-owner-manual,https://images.salsify.com/image/upload/s--Q2ZqW1dH--/207c3da007ffc1f522fe0a1723081c5d6c09941e.pdf,
ge-gfw650ssnww__door-will-not-close,ge-gfw650ssnww,GE,GFW650SSNWW,front-load,door-will-not-close,promotable-guided-checks,ge-front-owner-manual,https://images.salsify.com/image/upload/s--Q2ZqW1dH--/207c3da007ffc1f522fe0a1723081c5d6c09941e.pdf,
maytag-mhw5630hw__will-not-start,maytag-mhw5630hw,Maytag,MHW5630HW,front-load,will-not-start,promotable-guided-checks,maytag-front-start,https://producthelp.maytag.com/Laundry/Washers/Front_Load_Washers/Not_Starting_or_Not_Operating/Not_Starting_or_Not_Operating/Not_Starting_or_Not_Operating_-_Front_Load_Washer,
maytag-mhw5630hw__will-not-spin,maytag-mhw5630hw,Maytag,MHW5630HW,front-load,will-not-spin,promotable-guided-checks,maytag-front-spin,https://producthelp.maytag.com/Laundry/Washers/Front_Load_Washers/Not_Starting_or_Not_Operating/Not_Spinning/Not_Spinning_-_Front_Load_Washer,
maytag-mhw5630hw__is-leaking,maytag-mhw5630hw,Maytag,MHW5630HW,front-load,is-leaking,promotable-guided-checks,maytag-front-leak,https://producthelp.maytag.com/Laundry/Washers/Front_Load_Washers/Leaking/Leaking_from_Underneath_or_Bottom_-_Front_Load_Washer,
maytag-mhw6630hw__will-not-start,maytag-mhw6630hw,Maytag,MHW6630HW,front-load,will-not-start,promotable-guided-checks,maytag-front-start,https://producthelp.maytag.com/Laundry/Washers/Front_Load_Washers/Not_Starting_or_Not_Operating/Not_Starting_or_Not_Operating/Not_Starting_or_Not_Operating_-_Front_Load_Washer,
maytag-mhw6630hw__will-not-spin,maytag-mhw6630hw,Maytag,MHW6630HW,front-load,will-not-spin,promotable-guided-checks,maytag-front-spin,https://producthelp.maytag.com/Laundry/Washers/Front_Load_Washers/Not_Starting_or_Not_Operating/Not_Spinning/Not_Spinning_-_Front_Load_Washer,
maytag-mhw6630hw__is-leaking,maytag-mhw6630hw,Maytag,MHW6630HW,front-load,is-leaking,promotable-guided-checks,maytag-front-leak,https://producthelp.maytag.com/Laundry/Washers/Front_Load_Washers/Leaking/Leaking_from_Underneath_or_Bottom_-_Front_Load_Washer,
electrolux-elfw7537at__will-not-start,electrolux-elfw7537at,Electrolux,ELFW7537AT,front-load,will-not-start,promotable-guided-checks,electrolux-start,https://owner.electrolux.com/support-articles/article/1853594-how-to-fix-your-front-load-washer-not-starting,
electrolux-elfw7537at__will-not-spin,electrolux-elfw7537at,Electrolux,ELFW7537AT,front-load,will-not-spin,promotable-guided-checks,electrolux-spin-manual-7437-7738,https://frigidaire.bynder.com/m/673fe45bbf48d90f/original/A20448609-en-pdf.pdf,
electrolux-elfw7537at__is-leaking,electrolux-elfw7537at,Electrolux,ELFW7537AT,front-load,is-leaking,promotable-guided-checks,electrolux-leak,https://owner.electrolux.com/support-articles/article/1831358-laundry-front-loading-washer-is-leaking-water-,
electrolux-elfw7637at__will-not-start,electrolux-elfw7637at,Electrolux,ELFW7637AT,front-load,will-not-start,promotable-guided-checks,electrolux-start,https://owner.electrolux.com/support-articles/article/1853594-how-to-fix-your-front-load-washer-not-starting,
