category,role,publisher,domain,url,appliesTo,primaryManufacturerEvidence,authorizedFitEvidence,reviewedOn,reviewObservation
washer,model-identity,GE,www.geapplianceparts.com,https://www.geapplianceparts.com/store/parts/assembly/GFW550SSN0WW,GFW550SSNWW,true,,2026-08-29,Exact family identity source from the current catalog; paired with row-level symptom evidence.
washer,symptom-guidance,GE Appliances,images.salsify.com,https://images.salsify.com/image/upload/s--Q2ZqW1dH--/207c3da007ffc1f522fe0a1723081c5d6c09941e.pdf,"GFW850, GFW655, GFW650 and GFW550 model families named in the manual",true,,2026-08-29,Content/applicability reviewed; row-level safety intersection recorded in the gap ledger.
washer,model-identity,GE,products.geappliances.com,https://products.geappliances.com/appliance/gea-specs/GFW650SSNWW/support,GFW650SSNWW,true,,2026-08-29,Exact family identity source from the current catalog; paired with row-level symptom evidence.
washer,model-identity,Maytag,www.maytag.com,https://www.maytag.com/owners-center-pdp.MHW5630HW.html,MHW5630HW,true,,2026-08-29,Exact family identity source from the current catalog; paired with row-level symptom evidence.
washer,symptom-guidance,Maytag,producthelp.maytag.com,https://producthelp.maytag.com/Laundry/Washers/Front_Load_Washers/Not_Starting_or_Not_Operating/Not_Starting_or_Not_Operating/Not_Starting_or_Not_Operating_-_Front_Load_Washer,Maytag front-load washers,true,,2026-08-29,Content/applicability reviewed; row-level safety intersection recorded in the gap ledger.
washer,symptom-guidance,Maytag,producthelp.maytag.com,https://producthelp.maytag.com/Laundry/Washers/Front_Load_Washers/Not_Starting_or_Not_Operating/Not_Spinning/Not_Spinning_-_Front_Load_Washer,Maytag front-load washers,true,,2026-08-29,Content/applicability reviewed; row-level safety intersection recorded in the gap ledger.
washer,symptom-guidance,Maytag,producthelp.maytag.com,https://producthelp.maytag.com/Laundry/Washers/Front_Load_Washers/Leaking/Leaking_from_Underneath_or_Bottom_-_Front_Load_Washer,Maytag front-load washers,true,,2026-08-29,Content/applicability reviewed; row-level safety intersection recorded in the gap ledger.
washer,model-identity,Maytag,www.maytag.com,https://www.maytag.com/owners-center-pdp.MHW6630HW.html,MHW6630HW,true,,2026-08-29,Exact family identity source from the current catalog; paired with row-level symptom evidence.
washer,model-identity,Electrolux,www.electrolux.com,https://www.electrolux.com/en/p/laundry-care/washers/front-load-washers/ELFW7537AT,ELFW7537AT,true,,2026-08-29,Exact family identity source from the current catalog; paired with row-level symptom evidence.
washer,symptom-guidance,Electrolux,owner.electrolux.com,https://owner.electrolux.com/support-articles/article/1853594-how-to-fix-your-front-load-washer-not-starting,Electrolux front-load washers,true,,2026-08-29,Content/applicability reviewed; row-level safety intersection recorded in the gap ledger.
washer,symptom-guidance,Electrolux,frigidaire.bynder.com,https://frigidaire.bynder.com/m/673fe45bbf48d90f/original/A20448609-en-pdf.pdf,"ELFW7437AW, ELFW7537AT, ELFW7637AT and ELFW7738AA; each exact Electrolux model page links this Complete Owner's Guide",true,,2026-08-29,Content/applicability reviewed; row-level safety intersection recorded in the gap ledger.
washer,symptom-guidance,Electrolux,owner.electrolux.com,https://owner.electrolux.com/support-articles/article/1831358-laundry-front-loading-washer-is-leaking-water-,Electrolux front-load washers,true,,2026-08-29,Content/applicability reviewed; row-level safety intersection recorded in the gap ledger.
washer,model-identity,Electrolux,www.electrolux.com,https://www.electrolux.com/en/p/laundry-care/washers/front-load-washers/ELFW7637AT,ELFW7637AT,true,,2026-08-29,Exact family identity source from the current catalog; paired with row-level symptom evidence.
washer,model-identity,GE,products.geappliances.com,https://products.geappliances.com/appliance/gea-specs/GTW465ASNWW/support,GTW465ASNWW,true,,2026-08-29,Exact family identity source from the current catalog; paired with row-level symptom evidence.
washer,symptom-guidance,GE Appliances,images.salsify.com,https://images.salsify.com/image/upload/s--AKgAhUAs--/r4yctjlrytehsjedypih.pdf,"GTW485, GTW465, GTW385, GTW335, GTW325, HTW265 and HTW240 families named in the manual",true,,2026-08-29,Content/applicability reviewed; row-level safety intersection recorded in the gap ledger.
washer,model-identity,GE,products.geappliances.com,https://products.geappliances.com/appliance/gea-specs/GTW585BSVWS/support,GTW585BSVWS,true,,2026-08-29,Exact family identity source from the current catalog; paired with row-level symptom evidence.
washer,model-identity,Maytag,www.maytag.com,https://www.maytag.com/owners-center-pdp.MVW5430MW.html,MVW5430MW,true,,2026-08-29,Exact family identity source from the current catalog; paired with row-level symptom evidence.
washer,symptom-guidance,Maytag,producthelp.maytag.com,https://producthelp.maytag.com/Laundry/Washers/Top_Load_Washer/Operation/Not_Operating/Not_Starting_-_Washer,Maytag top-load washers,true,,2026-08-29,Content/applicability reviewed; row-level safety intersection recorded in the gap ledger.
washer,symptom-guidance,Maytag,producthelp.maytag.com,https://producthelp.maytag.com/Laundry/Washers/Top_Load_Washer/Cycle_Concerns/Not_Spinning_-_Washer,Maytag top-load washers,true,,2026-08-29,Content/applicability reviewed; row-level safety intersection recorded in the gap ledger.
washer,symptom-guidance,Maytag,producthelp.maytag.com,https://producthelp.maytag.com/Laundry/Washers/Top_Load_Washer/Water/Leaking/Leaking_from_Front_or_Top_-_Washer,Maytag top-load washers,true,,2026-08-29,Content/applicability reviewed; row-level safety intersection recorded in the gap ledger.
washer,model-identity,Frigidaire,www.frigidaire.com,https://www.frigidaire.com/en/p/owner-center/product-support/FFTW4120SW,FFTW4120SW,true,,2026-08-29,Exact family identity source from the current catalog; paired with row-level symptom evidence.
washer,symptom-guidance,Frigidaire,owner.frigidaire.com,https://owner.frigidaire.com/support-articles/article/1829706-laundry-top-loading-washer-displaying-error-code-e3-washer-lid-open-or-lid-lock-failed-,Frigidaire top-load washers,true,,2026-08-29,Content/applicability reviewed; row-level safety intersection recorded in the gap ledger.
washer,model-identity,Frigidaire,www.frigidaire.com,https://www.frigidaire.com/en/p/owner-center/product-support/FFFW5000QW,FFFW5000QW,true,,2026-08-29,Exact family identity source from the current catalog; paired with row-level symptom evidence.
washer,model-identity,Amana,www.amana.com,https://www.amana.com/laundry/washers/top-load/p.large-capacity-top-load-washer-with-high-efficiency-agitator.ntw4519jw.html,NTW4519JW,true,,2026-08-29,Exact family identity source from the current catalog; paired with row-level symptom evidence.
washer,symptom-guidance,Amana,producthelp.amana.com,https://producthelp.amana.com/Laundry/Washers/Top_Load_Washer/Operation/Not_Operating/Not_Starting_-_Washer,Amana top-load washers,true,,2026-08-29,Content/applicability reviewed; row-level safety intersection recorded in the gap ledger.
washer,symptom-guidance,Amana,producthelp.amana.com,https://producthelp.amana.com/Laundry/Washers/Top_Load_Washer/Cycle_Concerns/Not_Spinning_-_Washer,Amana top-load washers,true,,2026-08-29,Content/applicability reviewed; row-level safety intersection recorded in the gap ledger.
washer,symptom-guidance,Amana,producthelp.amana.com,https://producthelp.amana.com/Laundry/Washers/Top_Load_Washer/Water/Leaking/Leaking_Water_Underneath_-_Washer,Amana top-load washers,true,,2026-08-29,Content/applicability reviewed; row-level safety intersection recorded in the gap ledger.
washer,model-identity,Hotpoint,products.geappliances.com,https://products.geappliances.com/appliance/gea-specs/HTW240ASKWS/support,HTW240ASKWS,true,,2026-08-29,Exact family identity source from the current catalog; paired with row-level symptom evidence.
washer,model-identity,GE,products.geappliances.com,https://products.geappliances.com/appliance/gea-specs/GFW655SSVWW/support,GFW655SSVWW,true,,2026-08-29,Exact family identity source from the current catalog; paired with row-level symptom evidence.
washer,model-identity,GE,products.geappliances.com,https://products.geappliances.com/appliance/gea-specs/GFW850SPNRS/support,GFW850SPNRS,true,,2026-08-29,Exact family identity source from the current catalog; paired with row-level symptom evidence.
washer,symptom-guidance,GE Appliances,images.salsify.com,https://images.salsify.com/image/upload/s--7SJ2Cn5O--/c7cd23acabd0dde381486804fd70bf93a72f5b8b.pdf,GFW850 model family named in the manual,true,,2026-08-29,Content/applicability reviewed; row-level safety intersection recorded in the gap ledger.
washer,model-identity,GE,products.geappliances.com,https://products.geappliances.com/appliance/gea-specs/GTW335ASNWW/support,GTW335ASNWW,true,,2026-08-29,Exact family identity source from the current catalog; paired with row-level symptom evidence.
washer,model-identity,GE,products.geappliances.com,https://products.geappliances.com/appliance/gea-specs/GTW485ASWWB/support,GTW485ASWWB,true,,2026-08-29,Exact family identity source from the current catalog; paired with row-level symptom evidence.
washer,model-identity,Hotpoint,products.geappliances.com,https://products.geappliances.com/appliance/gea-specs/HTW265ASWWW/support,HTW265ASWWW,true,,2026-08-29,Exact family identity source from the current catalog; paired with row-level symptom evidence.
washer,model-identity,Hotpoint,products.geappliances.com,https://products.geappliances.com/appliance/gea-specs/HTW2065SBWW/support,HTW2065SBWW,true,,2026-08-29,Exact family identity source from the current catalog; paired with row-level symptom evidence.
washer,model-identity,Maytag,www.maytag.com,https://www.maytag.com/owners-center-pdp.MVW4505MW.html,MVW4505MW,true,,2026-08-29,Exact family identity source from the current catalog; paired with row-level symptom evidence.
